idiom,dict_page,pdf_page,raw_entry_head
an A for effort,1,16,an A for effort
(a little) new to (all) this,1,16,(a little) new to (all) this
abide by something,1,16,abide by something
able to breathe (easily) again,1,16,able to breathe (easily) again and able to breathe (freely) again
able to breathe (freely) again,1,16,able to breathe (easily) again and able to breathe (freely) again
able to do something blindfolded,1,16,able to do something blindfolded and able to do something standing on one’s head
able to do something standing on one’s head,1,16,able to do something blindfolded and able to do something standing on one’s head
able to do something with one’s eyes closed,1,16,able to do something with one’s eyes closed
able to fog a mirror,1,16,able to fog a mirror
able to make something,1,16,able to make something
able to take a joke,1,16,able to take a joke
able to take just so much,1,16,able to take just so much
able to take something,2,17,able to take something
above and beyond (something),2,17,above and beyond (something)
(above and) beyond the call of duty,2,17,(above and) beyond the call of duty
above average,2,17,above average
above par,2,17,above par
above reproach,2,17,above reproach
above suspicion,2,17,above suspicion
aboveboard,2,17,aboveboard and honest and aboveboard; open and aboveboard
honest and aboveboard,2,17,aboveboard and honest and aboveboard; open and aboveboard
open and aboveboard,2,17,aboveboard and honest and aboveboard; open and aboveboard
absent without leave,2,17,absent without leave and AWOL
AWOL,2,17,absent without leave and AWOL
according to all accounts,2,17,according to all accounts and by all accounts
by all accounts,2,17,according to all accounts and by all accounts
according to Hoyle,2,17,according to Hoyle
according to one’s own lights,2,17,according to one’s own lights
according to someone or something,2,17,according to someone or something
according to something,2,17,according to something
accustomed to someone or something,3,18,accustomed to someone or something
an aching heart,3,18,an aching heart
acid test,3,18,acid test
acknowledge receipt (of something),3,18,acknowledge receipt (of something)
acknowledge someone to be right,3,18,acknowledge someone to be right
acquire a taste for something,3,18,acquire a taste for something
across the board,3,18,across the board
act as someone,3,18,act as someone
act high-and-mighty,3,18,act high-and-mighty
act one’s age,3,18,act one’s age
act something out,3,18,act something out
act up,3,18,act up
Actions speak louder than words.,4,19,Actions speak louder than words.
add fuel to the fire,4,19,add fuel to the fire and add fuel to the flame
add fuel to the flame,4,19,add fuel to the fire and add fuel to the flame
add insult to injury,4,19,add insult to injury
add up (to something),4,19,add up (to something) 1.
address someone as something,4,19,address someone as something 1.
advanced in years,4,19,advanced in years
advise against something,4,19,advise against something
advise someone against doing something,4,19,advise someone against doing something
afraid of one’s own shadow,4,19,afraid of one’s own shadow
after a fashion,4,19,after a fashion
after all,4,19,after all 1.
after all is said and done,4,19,after all is said and done
after hours,4,19,after hours
after the fact,4,19,after the fact
after the fashion of someone or something,5,20,after the fashion of someone or something
again and again,5,20,again and again
against someone’s will,5,20,against someone’s will
against the clock,5,20,against the clock
ahead of one’s time,5,20,ahead of one’s time
ahead of schedule,5,20,ahead of schedule
ahead of the game,5,20,ahead of the game
ahead of time,5,20,ahead of time
aid and abet someone,5,20,aid and abet someone
aim to do something,5,20,aim to do something
Ain’t it the truth?,5,20,Ain’t it the truth?
air one’s dirty linen in public,5,20,air one’s dirty linen in public and wash one’s dirty linen in public
wash one’s dirty linen in public,5,20,air one’s dirty linen in public and wash one’s dirty linen in public
air one’s grievances,5,20,air one’s grievances
air something out,5,20,air something out
alive and kicking,6,21,alive and kicking and alive and well
alive and well,6,21,alive and kicking and alive and well
alive with someone or something,6,21,alive with someone or something
all and sundry,6,21,all and sundry
all around Robin Hood’s barn,6,21,all around Robin Hood’s barn
all at once,6,21,all at once 1.
(all) at sea (about something),6,21,(all) at sea (about something)
(all) balled up,6,21,(all) balled up
(all) beer and skittles,6,21,(all) beer and skittles
all better now,6,21,all better now
all day long,6,21,all day long
all dressed up,6,21,all dressed up
all for something,6,21,all for something
(all) for the best,6,21,(all) for the best
all gone,6,21,all gone
all in,6,21,all in
all in a day’s work,6,21,all in a day’s work
all in all,6,21,all in all
all in good time,7,22,all in good time
(all) in one breath,7,22,(all) in one breath
all in one piece,7,22,all in one piece
(all) in the family,7,22,(all) in the family
(all) joking aside,7,22,(all) joking aside and (all) kidding aside
(all) kidding aside,7,22,(all) joking aside and (all) kidding aside
all kinds of someone or something,7,22,all kinds of someone or something
all manner of someone or something,7,22,all manner of someone or something
all night long,7,22,all night long
all of a sudden,7,22,all of a sudden
all or nothing,7,22,all or nothing 1.
an all-out effort,7,22,an all-out effort
all-out war,7,22,all-out war
all over,7,22,all over 1.
(all) over again,7,22,(all) over again
all over but the shouting,7,22,all over but the shouting
all over the earth,8,23,all over the earth and all over the world
all over the world,8,23,all over the earth and all over the world
all over the place,8,23,all over the place
all over town,8,23,all over town 1.
(all) over with,8,23,(all) over with
all right,8,23,all right 1.
All right for you!,8,23,All right for you!
all right with someone,8,23,all right with someone
all set,8,23,all set
(all) set to do something,8,23,(all) set to do something
(all) shot to hell,8,23,(all) shot to hell
(all) skin and bones,8,23,(all) skin and bones
all sweetness and light,8,23,all sweetness and light
all systems (are) go,8,23,all systems (are) go
all talk (and no action),8,23,all talk (and no action)
All that glitters is not gold.,8,23,All that glitters is not gold.
all the livelong day,8,23,all the livelong day
all the rage,8,23,all the rage
all the same,8,23,all the same and just the same
just the same,8,23,all the same and just the same
all the same (to someone),9,24,all the same (to someone) and just the same (to someone)
just the same (to someone),9,24,all the same (to someone) and just the same (to someone)
all the time,9,24,all the time 1.
all the way,9,24,all the way
all thumbs,9,24,all thumbs
all told,9,24,all told
all to the good,9,24,all to the good
(all) tuckered out,9,24,(all) tuckered out
all walks of life,9,24,all walks of life
(all) well and good,9,24,(all) well and good
all wet,9,24,all wet
all wool and a yard wide,9,24,all wool and a yard wide
All work and no play makes Jack a dull boy.,9,24,All work and no play makes Jack a dull boy.
(all) worked up (about something),9,24,(all) worked up (about something)
(all) worked up (over something),9,24,(all) worked up (over something) and (all) worked up (about something)
(all) year round,9,24,(all) year round
allow for someone or something,9,24,allow for someone or something 1.
All’s well that ends well.,10,25,All’s well that ends well.
almost lost it,10,25,almost lost it
along in years,10,25,along in years
along with someone or something,10,25,along with someone or something
alongside (of) someone or something,10,25,alongside (of) someone or something
alpha and omega,10,25,alpha and omega
amount to something,10,25,amount to something
amount to the same thing,10,25,amount to the same thing and come to the same thing
come to the same thing,10,25,amount to the same thing and come to the same thing
and change,10,25,and change
and so forth,10,25,and so forth
and something to spare,10,25,and something to spare and with something to spare
with something to spare,10,25,and something to spare and with something to spare
and so on,10,25,and so on
and the like,10,25,and the like
and then some,10,25,and then some
and what have you,11,26,and what have you
angry enough to chew nails,11,26,angry enough to chew nails
another country heard from,11,26,another country heard from
(another) nail in someone’s or something’s coffin,11,26,(another) nail in someone’s or something’s coffin
answer for someone or something,11,26,answer for someone or something
answer someone’s purpose,11,26,answer someone’s purpose and serve someone’s purpose
serve someone’s purpose,11,26,answer someone’s purpose and serve someone’s purpose
answer the door,11,26,answer the door
answer to someone,11,26,answer to someone
any number of someone or something,11,26,any number of someone or something
Any port in a storm.,11,26,Any port in a storm.
appear as something,11,26,appear as something
appear out of nowhere,11,26,appear out of nowhere
apples and oranges,11,26,apples and oranges
arguing for the sake of arguing,11,26,arguing for the sake of arguing and arguing for the sake of argument
arguing for the sake of argument,11,26,arguing for the sake of arguing and arguing for the sake of argument
arm in arm,11,26,arm in arm
armed and dangerous,12,27,armed and dangerous
armed to the teeth,12,27,armed to the teeth
(a)round the clock,12,27,(a)round the clock
(a)round-the-clock,12,27,(a)round-the-clock
arrange something with someone,12,27,arrange something with someone 1. and arrange to do something with someone
arrange to do something with someone,12,27,arrange something with someone 1. and arrange to do something with someone
arrive in a body,12,27,arrive in a body
arrive on the scene,12,27,arrive on the scene
as a duck takes to water,12,27,as a duck takes to water
as a (general) rule,12,27,as a (general) rule
as a last resort,12,27,as a last resort
as alike as (two) peas in a pod,12,27,as alike as (two) peas in a pod
as a matter of course,12,27,as a matter of course
as a matter of fact,12,27,as a matter of fact
as an aside,12,27,as an aside
as a result of something,12,27,as a result of something
as a token (of something),12,27,as a token (of something)
(as) awkward as a cow on a crutch,12,27,(as) awkward as a cow on a crutch and (as) awkward as a cow on roller skates
(as) awkward as a cow on roller skates,12,27,(as) awkward as a cow on a crutch and (as) awkward as a cow on roller skates
(as) bad as all that,13,28,(as) bad as all that
(as) bald as a baby’s backside,13,28,(as) bald as a baby’s backside
(as) bald as a coot,13,28,(as) bald as a coot and (as) bald as a baby’s backside
(as) baleful as death,13,28,(as) baleful as death
(as) big as all outdoors,13,28,(as) big as all outdoors
(as) big as life,13,28,(as) big as life and (as) big as life and twice as ugly
(as) big as life and twice as ugly,13,28,(as) big as life and (as) big as life and twice as ugly
(as) black as a skillet,13,28,(as) black as a skillet
(as) black as a stack of black cats,13,28,(as) black as a stack of black cats
(as) black as a sweep,13,28,(as) black as a sweep
(as) black as coal,13,28,(as) black as coal
(as) black as night,13,28,(as) black as night
(as) black as one is painted,13,28,(as) black as one is painted
(as) black as pitch,13,28,(as) black as pitch
(as) black as the ace of spades,13,28,(as) black as the ace of spades
(as) blind as a bat,13,28,(as) blind as a bat
(as) bold as brass,13,28,(as) bold as brass
(as) bright as a button,13,28,(as) bright as a button
(as) bright as a new pin,13,28,(as) bright as a new pin
(as) broad as a barn door,13,28,(as) broad as a barn door
(as) busy as a beaver,14,29,(as) busy as a beaver and (as) busy as a bee
